"Date","Price","Open","High","Low","Vol.","Change %"
"10/17/2023","16,808.70","16,750.95","16,849.45","16,750.95","","1.01%"
"10/16/2023","16,641.35","16,592.60","16,669.30","16,566.70","","0.67%"
"10/13/2023","16,531.00","16,478.15","16,592.95","16,478.15","","0.06%"
"10/12/2023","16,521.55","16,449.70","16,527.10","16,443.45","","0.96%"
"10/11/2023","16,364.15","16,311.95","16,415.60","16,311.95","","0.98%"
"10/10/2023","16,204.80","16,077.95","16,211.00","16,077.95","","1.51%"
"10/09/2023","15,964.25","16,142.20","16,142.20","15,927.05","","-2.33%"
"10/06/2023","16,344.35","16,312.25","16,360.10","16,265.75","","0.68%"
"10/05/2023","16,234.05","16,194.30","16,261.10","16,144.00","","0.96%"
"10/04/2023","16,080.45","16,222.80","16,246.50","15,956.00","","-0.93%"
"10/03/2023","16,232.00","16,228.75","16,255.20","16,162.55","","0.23%"
"09/29/2023","16,194.00","16,177.00","16,222.15","16,119.40","","0.71%"
"09/28/2023","16,079.35","16,207.90","16,305.05","16,060.35","","-0.30%"
"09/27/2023","16,127.05","16,041.65","16,144.35","16,005.95","","0.72%"
"09/26/2023","16,012.05","15,997.45","16,092.40","15,976.00","","0.34%"
"09/25/2023","15,958.55","15,938.25","16,003.85","15,883.90","","0.42%"
"09/22/2023","15,892.50","15,905.30","15,969.40","15,746.55","","0.22%"
"09/21/2023","15,856.95","16,009.55","16,111.50","15,822.75","","-1.00%"
"09/20/2023","16,017.40","16,028.90","16,171.55","15,946.25","","-0.39%"
"09/18/2023","16,079.90","16,208.60","16,246.60","16,061.90","","-0.48%"
"09/15/2023","16,157.15","16,168.50","16,204.95","16,074.40","","0.60%"
"09/14/2023","16,060.00","16,015.80","16,160.80","16,015.80","","1.17%"
"09/13/2023","15,873.80","15,679.05","15,894.15","15,411.40","","1.33%"
"09/12/2023","15,665.40","16,626.50","16,654.80","15,632.70","","-4.45%"
"09/08/2023","16,394.15","16,420.25","16,479.60","16,328.30","","0.40%"
"09/07/2023","16,328.30","16,284.00","16,355.10","16,220.30","","0.67%"
"09/06/2023","16,220.30","16,328.70","16,354.45","16,174.75","","-0.20%"
"09/05/2023","16,252.50","16,257.30","16,336.00","16,139.75","","0.51%"
