"Date","Price","Open","High","Low","Vol.","Change %"
"19-07-2024","20,812.25","21,243.20","21,243.20","20,770.05","","-2.09%"
"18-07-2024","21,255.60","21,452.95","21,456.95","21,135.85","","-0.94%"
"16-07-2024","21,456.50","21,528.45","21,554.45","21,419.15","","0.04%"
"15-07-2024","21,448.85","21,395.15","21,457.55","21,223.50","","0.70%"
"12-07-2024","21,300.25","21,400.30","21,401.85","21,250.50","","-0.06%"
"11-07-2024","21,312.15","21,370.50","21,386.60","21,251.60","","0.21%"
"10-07-2024","21,266.60","21,443.70","21,453.80","20,855.40","0.00K","-0.38%"
"09-07-2024","21,347.50","21,387.75","21,439.55","21,257.30","0.00K","0.27%"
"08-07-2024","21,289.35","21,428.25","21,444.75","21,224.40","","-0.30%"
"05-07-2024","21,352.50","21,246.25","21,369.05","21,185.80","","0.65%"
"04-07-2024","21,215.30","21,162.65","21,238.95","21,093.50","","0.68%"
"03-07-2024","21,072.75","21,021.10","21,105.20","20,966.80","","0.78%"
"02-07-2024","20,909.90","21,105.70","21,117.85","20,792.65","","-0.57%"
"01-07-2024","21,029.90","20,898.35","21,045.05","20,851.20","","0.95%"
"28-06-2024","20,831.95","20,788.20","20,893.90","20,774.65","","0.53%"
"27-06-2024","20,723.15","20,729.75","20,850.80","20,574.70","","0.21%"
"26-06-2024","20,680.70","20,763.65","20,789.75","20,657.55","","-0.26%"
"25-06-2024","20,734.55","20,855.20","20,922.90","20,697.90","","-0.24%"
"24-06-2024","20,784.00","20,700.20","20,831.75","20,550.00","","0.24%"
"21-06-2024","20,735.25","20,863.10","20,890.70","20,696.75","","-0.15%"
"20-06-2024","20,766.70","20,671.50","20,780.60","20,558.20","","0.85%"
"19-06-2024","20,591.65","20,879.95","20,880.05","20,504.05","","-1.05%"
"18-06-2024","20,809.75","20,784.40","20,825.40","20,701.00","","0.54%"
"14-06-2024","20,698.25","20,547.85","20,710.20","20,490.40","","1.07%"
"13-06-2024","20,480.05","20,473.55","20,520.85","20,373.30","","0.78%"
"12-06-2024","20,321.20","20,204.35","20,338.85","20,192.35","","1.00%"
"11-06-2024","20,119.55","20,042.45","20,201.00","19,987.80","","0.82%"
"10-06-2024","19,956.65","19,992.00","20,084.90","19,871.70","","0.36%"
"07-06-2024","19,884.25","19,665.10","19,898.25","19,593.90","","1.41%"
"06-06-2024","19,607.20","19,400.80","19,714.05","19,385.95","","2.18%"
"05-06-2024","19,189.80","18,681.55","19,245.55","18,188.80","","3.86%"
"04-06-2024","18,476.25","19,921.70","19,921.70","17,744.85","","-7.11%"
"03-06-2024","19,889.85","20,033.15","20,033.15","19,716.55","","3.01%"
"31-05-2024","19,308.75","19,305.95","19,382.20","19,123.10","","0.58%"
"30-05-2024","19,196.70","19,419.55","19,434.45","19,165.65","","-1.16%"
"29-05-2024","19,421.20","19,427.40","19,495.10","19,336.55","","-0.28%"
"28-05-2024","19,474.95","19,676.15","19,709.70","19,394.00","","-0.77%"
"27-05-2024","19,625.90","19,642.00","19,717.40","19,523.60","","0.37%"
"24-05-2024","19,553.15","19,584.10","19,667.65","19,521.70","","-0.05%"
"23-05-2024","19,562.55","19,553.30","19,575.25","19,421.35","","0.48%"
"22-05-2024","19,469.35","19,498.20","19,550.70","19,320.80","","0.29%"
"21-05-2024","19,413.20","19,372.95","19,425.90","19,224.70","","0.31%"
"18-05-2024","19,352.60","19,352.60","19,352.60","19,352.60","","0.54%"
"17-05-2024","19,249.20","19,111.55","19,257.70","19,073.00","","1.05%"
"16-05-2024","19,048.80","18,931.55","19,067.15","18,908.85","","0.97%"
"15-05-2024","18,865.20","18,755.10","18,889.90","18,747.40","","0.94%"
"14-05-2024","18,690.10","18,563.80","18,705.90","18,497.30","","0.94%"
"13-05-2024","18,516.75","18,435.80","18,545.35","18,100.95","","0.51%"
"10-05-2024","18,423.30","18,303.45","18,441.70","18,081.10","","0.98%"
"09-05-2024","18,245.35","18,602.15","18,617.55","18,211.85","","-1.74%"
"08-05-2024","18,568.70","18,446.85","18,615.45","18,335.05","","0.52%"
"07-05-2024","18,471.85","18,860.85","18,866.45","18,365.20","","-1.86%"
"06-05-2024","18,821.30","19,023.65","19,025.25","18,689.80","","-0.46%"
"03-05-2024","18,907.70","19,052.45","19,064.05","18,809.70","","-0.36%"
"02-05-2024","18,975.25","18,971.85","19,002.35","18,891.80","","0.44%"
"30-04-2024","18,893.00","18,914.55","19,009.95","18,875.95","","0.24%"
"29-04-2024","18,847.00","18,836.25","18,861.20","18,754.35","","0.34%"
"26-04-2024","18,782.50","18,699.20","18,812.40","18,689.30","","0.75%"
"25-04-2024","18,643.25","18,578.15","18,660.90","18,507.30","","0.40%"
"24-04-2024","18,568.30","18,513.05","18,582.15","18,493.45","","0.82%"
"23-04-2024","18,417.95","18,342.45","18,441.95","18,308.80","","1.01%"
"22-04-2024","18,234.30","18,265.75","18,302.95","18,205.05","","0.68%"
"19-04-2024","18,111.25","18,042.80","18,178.90","17,833.55","","-0.46%"
"18-04-2024","18,195.65","18,362.80","18,445.05","18,161.25","","-0.36%"
"16-04-2024","18,260.60","18,185.20","18,373.45","18,133.00","","-0.12%"
"15-04-2024","18,283.20","18,206.05","18,392.95","18,062.40","","-1.36%"
"12-04-2024","18,534.70","18,620.80","18,722.05","18,517.00","","-0.49%"
"10-04-2024","18,625.40","18,529.60","18,647.25","18,486.75","","0.87%"
"09-04-2024","18,465.55","18,599.00","18,606.30","18,411.40","","-0.25%"
"08-04-2024","18,511.15","18,593.85","18,594.90","18,428.90","","0.21%"
"05-04-2024","18,473.25","18,398.80","18,500.80","18,369.75","","0.47%"
"04-04-2024","18,385.95","18,503.40","18,523.65","18,330.80","","0.04%"
"03-04-2024","18,378.60","18,272.85","18,400.00","18,224.70","","0.50%"
"02-04-2024","18,286.35","18,151.10","18,300.35","18,088.35","","1.12%"
"01-04-2024","18,084.70","17,902.85","18,101.75","17,882.90","","1.79%"
"28-03-2024","17,766.00","17,783.15","17,814.25","17,676.30","","0.45%"
"27-03-2024","17,685.85","17,725.25","17,778.40","17,672.15","","0.12%"
"26-03-2024","17,664.35","17,459.70","17,680.85","17,457.55","","0.92%"
