Company Name,Ticker,NSE Symbol,Market Cap
Coromandel International Ltd.,COROMANDEL.NS,NSE:COROMANDEL,Mid Cap
Cummins India Ltd.,CUMMINSIND.NS,NSE:CUMMINSIND,Mid Cap
Dalmia Bharat Ltd.,DALBHARAT.NS,NSE:DALBHARAT,Mid Cap
Deepak Nitrite Ltd.,DEEPAKNTR.NS,NSE:DEEPAKNTR,Mid Cap
Delhivery Ltd.,DELHIVERY.NS,NSE:DELHIVERY,Mid Cap
Dixon Technologies (India) Ltd.,DIXON.NS,NSE:DIXON,Mid Cap
Emami Ltd.,EMAMILTD.NS,NSE:EMAMILTD,Mid Cap
Endurance Technologies Ltd.,ENDURANCE.NS,NSE:ENDURANCE,Mid Cap
Escorts Kubota Ltd.,ESCORTS.NS,NSE:ESCORTS,Mid Cap
Exide Industries Ltd.,EXIDEIND.NS,NSE:EXIDEIND,Mid Cap
FSN E-Commerce Ventures Ltd.,NYKAA.NS,NSE:NYKAA,Mid Cap
Federal Bank Ltd.,FEDERALBNK.NS,NSE:FEDERALBNK,Mid Cap
Fertilisers and Chemicals Travancore Ltd.,FACT.NS,NSE:FACT,Mid Cap
Fortis Healthcare Ltd.,FORTIS.NS,NSE:FORTIS,Mid Cap
GMR Airports Infrastructure Ltd.,GMRINFRA.NS,NSE:GMRINFRA,Mid Cap
General Insurance Corporation of India,GICRE.NS,NSE:GICRE,Mid Cap
Gland Pharma Ltd.,GLAND.NS,NSE:GLAND,Mid Cap
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO.NS,NSE:GLAXO,Mid Cap
Global Health Ltd.,MEDANTA.NS,NSE:MEDANTA,Mid Cap
Godrej Industries Ltd.,GODREJIND.NS,NSE:GODREJIND,Mid Cap
Godrej Properties Ltd.,GODREJPROP.NS,NSE:GODREJPROP,Mid Cap
Grindwell Norton Ltd.,GRINDWELL.NS,NSE:GRINDWELL,Mid Cap
Gujarat Fluorochemicals Ltd.,FLUOROCHEM.NS,NSE:FLUOROCHEM,Mid Cap
Gujarat Gas Ltd.,GUJGASLTD.NS,NSE:GUJGASLTD,Mid Cap
HDFC Asset Management Company Ltd.,HDFCAMC.NS,NSE:HDFCAMC,Mid Cap
Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS,NSE:HINDPETRO,Mid Cap
Hindustan Zinc Ltd.,HINDZINC.NS,NSE:HINDZINC,Mid Cap
Hitachi Energy India Ltd.,POWERINDIA.NS,NSE:POWERINDIA,Mid Cap
Honeywell Automation India Ltd.,HONAUT.NS,NSE:HONAUT,Mid Cap
Housing & Urban Development Corporation Ltd.,HUDCO.NS,NSE:HUDCO,Mid Cap
IDBI Bank Ltd.,IDBI.NS,NSE:IDBI,Mid Cap
